Date,Open,High,Low,Close
03/07/1990,336.95,338.84,336.33,336.95
03/08/1990,340.27,340.66,336.95,340.27
03/09/1990,337.93,340.27,336.84,337.93
03/12/1990,338.67,339.08,336.14,338.67
03/13/1990,336.0,338.67,335.36,336.0
03/14/1990,336.87,337.63,334.93,336.87
03/15/1990,338.07,338.91,336.87,338.07
03/16/1990,341.91,341.91,338.07,341.91
03/19/1990,343.53,343.76,339.12,343.53
03/20/1990,341.57,344.49,340.87,341.57
03/21/1990,339.74,342.34,339.56,339.74
03/22/1990,335.69,339.77,333.62,335.69
03/23/1990,337.22,337.58,335.69,337.22
03/26/1990,337.63,339.74,337.22,337.63
03/27/1990,341.5,341.5,337.03,341.5
03/28/1990,342.0,342.58,340.6,342.0
03/29/1990,340.79,342.07,339.77,340.79
03/30/1990,339.94,341.41,338.21,339.94
04/02/1990,338.7,339.94,336.33,338.7
04/03/1990,343.64,343.76,338.7,343.64
04/04/1990,341.09,344.12,340.4,341.09
04/05/1990,340.73,342.85,340.63,340.73
04/06/1990,340.08,341.73,338.94,340.08
04/09/1990,341.37,341.83,339.88,341.37
04/10/1990,342.07,342.41,340.62,342.07
04/11/1990,341.92,343.0,341.26,341.92
04/12/1990,344.34,344.79,341.91,344.34
04/16/1990,344.74,347.3,344.1,344.74
04/17/1990,344.68,345.19,342.06,344.68
04/18/1990,340.72,345.33,340.11,340.72
04/19/1990,338.09,340.72,337.59,338.09
04/20/1990,335.12,338.52,333.41,335.12
04/23/1990,331.05,335.12,330.09,331.05
04/24/1990,330.36,332.97,329.71,330.36
04/25/1990,332.03,332.74,330.36,332.03
04/26/1990,332.92,333.76,330.67,332.92
04/27/1990,329.11,333.57,328.71,329.11
04/30/1990,330.8,331.31,327.76,330.8
05/01/1990,332.25,332.83,330.8,332.25
05/02/1990,334.48,334.48,332.15,334.48
05/03/1990,335.57,337.02,334.47,335.57
05/04/1990,338.39,338.46,335.17,338.39
05/07/1990,340.53,341.07,338.11,340.53
05/08/1990,342.01,342.03,340.17,342.01
05/09/1990,342.86,343.08,340.9,342.86
05/10/1990,343.82,344.98,342.77,343.82
05/11/1990,352.0,352.31,343.82,352.0
05/14/1990,354.75,358.41,351.95,354.75
05/15/1990,354.28,355.09,352.84,354.28
05/16/1990,354.0,354.68,351.95,354.0
05/17/1990,354.47,356.92,354.0,354.47
05/18/1990,354.64,354.64,352.52,354.64
05/21/1990,358.0,359.07,353.78,358.0
05/22/1990,358.43,360.5,356.09,358.43
05/23/1990,359.29,359.29,356.99,359.29
05/24/1990,358.41,359.56,357.87,358.41
05/25/1990,354.58,358.41,354.32,354.58
05/29/1990,360.65,360.65,354.55,360.65
05/30/1990,360.86,362.26,360.0,360.86
05/31/1990,361.23,361.84,360.23,361.23
06/01/1990,363.16,363.52,361.21,363.16
06/04/1990,367.4,367.85,362.43,367.4
06/05/1990,366.64,368.78,365.49,366.64
06/06/1990,364.96,366.64,364.42,364.96
06/07/1990,363.15,365.92,361.6,363.15
06/08/1990,358.71,363.49,357.68,358.71
06/11/1990,361.63,361.63,357.7,361.63
06/12/1990,366.25,367.27,361.15,366.25
06/13/1990,364.9,367.09,364.51,364.9
06/14/1990,362.9,364.9,361.64,362.9
06/15/1990,362.91,363.14,360.71,362.91
06/18/1990,356.88,362.91,356.88,356.88
06/19/1990,358.47,358.9,356.18,358.47
06/20/1990,359.1,359.91,357.0,359.1
06/21/1990,360.47,360.88,357.63,360.47
06/22/1990,355.43,363.2,355.31,355.43
06/25/1990,352.31,356.41,351.91,352.31
06/26/1990,352.06,356.09,351.85,352.06
06/27/1990,355.14,355.89,351.23,355.14
06/28/1990,357.63,357.63,355.14,357.63
06/29/1990,358.02,359.09,357.3,358.02
07/02/1990,359.54,359.58,357.54,359.54
07/03/1990,360.16,360.73,359.44,360.16
07/05/1990,355.68,360.16,354.86,355.68
07/06/1990,358.42,359.02,354.64,358.42
07/09/1990,359.52,360.05,358.11,359.52
07/10/1990,356.49,359.74,356.41,356.49
07/11/1990,361.23,361.23,356.49,361.23
07/12/1990,365.44,365.46,360.57,365.44
07/13/1990,367.31,369.68,365.44,367.31
07/16/1990,368.95,369.78,367.3,368.95
07/17/1990,367.52,369.4,364.99,367.52
07/18/1990,364.22,367.52,362.95,364.22
07/19/1990,365.32,365.32,361.29,365.32
07/20/1990,361.61,366.64,361.58,361.61
07/23/1990,355.31,361.61,350.09,355.31
07/24/1990,355.79,356.09,351.46,355.79
07/25/1990,357.09,357.52,354.8,357.09
07/26/1990,355.91,357.47,353.95,355.91
07/27/1990,353.44,355.94,352.14,353.44
07/30/1990,355.55,355.55,351.15,355.55
07/31/1990,356.15,357.54,353.91,356.15
08/01/1990,355.52,357.35,353.82,355.52
08/02/1990,351.48,355.52,349.73,351.48
08/03/1990,344.86,351.48,338.2,344.86
08/06/1990,334.43,344.86,333.27,334.43
08/07/1990,334.83,338.63,332.22,334.83
08/08/1990,338.35,339.21,334.83,338.35
08/09/1990,339.94,340.56,337.56,339.94
08/10/1990,335.52,339.94,334.22,335.52
08/13/1990,338.84,338.88,332.02,338.84
08/14/1990,339.39,340.96,337.19,339.39
08/15/1990,340.06,341.92,339.38,340.06
08/16/1990,332.39,340.06,332.39,332.39
08/17/1990,327.83,332.39,324.63,327.83
08/20/1990,328.51,329.9,327.07,328.51
08/21/1990,321.86,328.51,318.78,321.86
08/22/1990,316.55,324.15,316.55,316.55
08/23/1990,307.06,316.55,306.56,307.06
08/24/1990,311.51,311.65,306.18,311.51
08/27/1990,321.44,323.11,311.51,321.44
08/28/1990,321.34,322.2,320.25,321.34
08/29/1990,324.19,325.83,320.87,324.19
08/30/1990,318.71,324.57,317.82,318.71
08/31/1990,322.56,322.57,316.59,322.56
09/04/1990,323.09,323.09,319.11,323.09
09/05/1990,324.39,324.52,320.99,324.39
09/06/1990,320.46,324.39,319.37,320.46
09/07/1990,323.4,324.18,319.71,323.4
09/10/1990,321.63,326.53,320.31,321.63
09/11/1990,321.04,322.18,319.6,321.04
09/12/1990,322.54,322.55,319.6,322.54
09/13/1990,318.65,322.54,318.02,318.65
09/14/1990,316.83,318.65,314.76,316.83
09/17/1990,317.77,318.05,315.21,317.77
09/18/1990,318.6,318.85,314.27,318.6
09/19/1990,316.6,319.35,316.25,316.6
09/20/1990,311.48,316.6,310.55,311.48
09/21/1990,311.32,312.17,307.98,311.32
09/24/1990,304.59,311.32,303.58,304.59
09/25/1990,308.26,308.27,304.23,308.26
09/26/1990,305.06,308.28,303.05,305.06
09/27/1990,300.97,307.47,299.1,300.97
09/28/1990,306.05,306.05,295.98,306.05
10/01/1990,314.94,314.94,306.05,314.94
10/02/1990,315.21,319.69,314.94,315.21
10/03/1990,311.4,316.26,310.7,311.4
10/04/1990,312.69,313.4,308.59,312.69
10/05/1990,311.5,314.79,305.76,311.5
10/08/1990,313.48,315.03,311.5,313.48
10/09/1990,305.1,313.48,305.09,305.1
10/10/1990,300.39,306.43,299.21,300.39
10/11/1990,295.46,301.45,294.51,295.46
10/12/1990,300.03,301.68,295.22,300.03
10/15/1990,303.23,304.79,296.41,303.23
10/16/1990,298.92,304.34,298.12,298.92
10/17/1990,298.76,301.5,297.79,298.76
10/18/1990,305.74,305.74,298.75,305.74
10/19/1990,312.48,312.48,305.74,312.48
10/22/1990,314.76,315.83,310.47,314.76
10/23/1990,312.36,315.06,312.06,312.36
10/24/1990,312.6,313.51,310.73,312.6
10/25/1990,310.17,313.71,309.7,310.17
10/26/1990,304.71,310.17,304.71,304.71
10/29/1990,301.88,307.41,300.69,301.88
10/30/1990,304.06,304.36,299.44,304.06
10/31/1990,304.0,305.7,303.33,304.0
11/01/1990,307.02,307.27,301.61,307.02
11/02/1990,311.85,311.94,306.88,311.85
11/05/1990,314.59,314.61,311.41,314.59
11/06/1990,311.62,314.76,311.43,311.62
11/07/1990,306.01,311.62,305.79,306.01
11/08/1990,307.61,309.77,305.03,307.61
11/09/1990,313.74,313.78,307.61,313.74
11/12/1990,319.48,319.77,313.73,319.48
11/13/1990,317.67,319.48,317.26,317.67
11/14/1990,320.4,321.7,317.23,320.4
11/15/1990,317.02,320.4,316.13,317.02
11/16/1990,317.12,318.8,314.99,317.12
11/19/1990,319.34,319.39,317.12,319.34
11/20/1990,315.31,319.34,315.31,315.31
11/21/1990,316.03,316.15,312.42,316.03
11/23/1990,315.1,317.3,315.06,315.1
11/26/1990,316.51,316.51,311.48,316.51
11/27/1990,318.1,318.65,315.79,318.1
11/28/1990,317.95,319.96,317.62,317.95
11/29/1990,316.42,317.95,315.03,316.42
11/30/1990,322.22,323.02,315.42,322.22
12/03/1990,324.1,324.9,322.22,324.1
12/04/1990,326.35,326.77,321.97,326.35
12/05/1990,329.92,329.92,325.66,329.92
12/06/1990,329.07,333.98,328.37,329.07
12/07/1990,327.75,329.39,326.39,327.75
12/10/1990,328.89,328.97,326.15,328.89
12/11/1990,326.44,328.89,325.65,326.44
12/12/1990,330.19,330.36,326.44,330.19
12/13/1990,329.34,330.58,328.77,329.34
12/14/1990,326.82,329.34,325.16,326.82
12/17/1990,326.02,326.82,324.46,326.02
12/18/1990,330.05,330.43,325.75,330.05
12/19/1990,330.2,330.8,329.39,330.2
12/20/1990,330.12,330.74,326.94,330.12
12/21/1990,331.75,332.47,330.12,331.75
12/24/1990,329.9,331.75,329.16,329.9
12/26/1990,330.85,331.69,329.89,330.85
12/27/1990,328.29,331.04,328.23,328.29
12/28/1990,328.72,328.72,327.24,328.72
12/31/1990,330.22,330.23,327.5,330.22
01/02/1991,326.45,330.75,326.45,326.45
01/03/1991,321.91,326.53,321.9,321.91
01/04/1991,321.0,322.35,318.87,321.0
01/07/1991,315.44,321.0,315.44,315.44
01/08/1991,314.9,316.97,313.79,314.9
01/09/1991,311.49,320.73,310.93,311.49
01/10/1991,314.53,314.77,311.49,314.53
01/11/1991,315.23,315.24,313.59,315.23
01/14/1991,312.49,315.23,309.35,312.49
01/15/1991,313.73,313.73,311.84,313.73
01/16/1991,316.17,316.94,312.94,316.17
01/17/1991,327.97,327.97,316.17,327.97
01/18/1991,332.23,332.23,327.08,332.23
01/21/1991,331.06,332.23,328.87,331.06
01/22/1991,328.31,331.26,327.83,328.31
01/23/1991,330.21,331.04,327.93,330.21
01/24/1991,334.78,335.83,330.19,334.78
01/25/1991,336.07,336.92,334.2,336.07
01/28/1991,336.03,337.41,335.81,336.03
01/29/1991,335.84,336.03,334.26,335.84
01/30/1991,340.91,340.91,335.69,340.91
01/31/1991,343.93,343.93,340.47,343.93
02/01/1991,343.05,344.9,340.37,343.05
02/04/1991,348.34,348.71,342.96,348.34
02/05/1991,351.26,351.84,347.21,351.26
02/06/1991,358.07,358.07,349.58,358.07
02/07/1991,356.52,363.43,355.53,356.52
02/08/1991,359.35,359.35,356.02,359.35
02/11/1991,368.58,368.58,359.32,368.58
02/12/1991,365.5,370.54,365.5,365.5
02/13/1991,369.02,369.49,364.64,369.02
02/14/1991,364.22,370.26,362.77,364.22
02/15/1991,369.06,369.49,364.22,369.06
02/19/1991,369.39,370.11,367.05,369.39
02/20/1991,365.14,369.39,364.38,365.14
02/21/1991,364.97,366.79,364.5,364.97
02/22/1991,365.65,370.96,364.23,365.65
02/25/1991,367.26,370.32,365.12,367.26
02/26/1991,362.81,367.26,362.19,362.81
02/27/1991,367.74,368.38,362.81,367.74
02/28/1991,367.07,369.91,365.95,367.07
03/01/1991,370.47,370.47,363.73,370.47
03/04/1991,369.33,371.99,369.07,369.33
03/05/1991,376.72,377.89,369.33,376.72
03/06/1991,376.17,379.66,375.02,376.17
03/07/1991,375.91,377.49,375.58,375.91
03/08/1991,374.95,378.69,374.43,374.95
03/11/1991,372.96,375.1,372.52,372.96
03/12/1991,370.03,374.35,369.55,370.03
03/13/1991,374.57,374.65,370.03,374.57
03/14/1991,373.5,378.28,371.76,373.5
03/15/1991,373.59,374.58,370.21,373.59
03/18/1991,372.11,374.09,369.46,372.11
03/19/1991,366.59,372.11,366.54,366.59
03/20/1991,367.92,368.85,365.8,367.92
03/21/1991,366.58,371.01,366.51,366.58
03/22/1991,367.48,368.22,365.58,367.48
03/25/1991,369.83,371.31,367.46,369.83
03/26/1991,376.3,376.3,369.37,376.3
03/27/1991,375.35,378.48,374.73,375.35
03/28/1991,375.22,376.6,374.4,375.22
04/01/1991,371.3,375.22,370.27,371.3
04/02/1991,379.5,379.5,371.3,379.5
04/03/1991,378.94,381.56,378.49,378.94
04/04/1991,379.77,381.88,377.05,379.77
04/05/1991,375.36,381.12,374.15,375.36
04/08/1991,378.66,378.76,374.69,378.66
04/09/1991,373.56,379.02,373.11,373.56
04/10/1991,373.15,374.83,371.21,373.15
04/11/1991,377.63,379.53,373.15,377.63
04/12/1991,380.4,381.07,376.89,380.4
04/15/1991,381.19,382.32,378.78,381.19
04/16/1991,387.62,387.62,379.64,387.62
04/17/1991,390.45,391.26,387.3,390.45
04/18/1991,388.46,390.97,388.13,388.46
04/19/1991,384.2,388.46,383.9,384.2
04/22/1991,380.95,384.2,380.16,380.95
04/23/1991,381.76,383.55,379.67,381.76
04/24/1991,382.76,383.02,379.99,382.76
04/25/1991,379.25,382.89,378.43,379.25
04/26/1991,379.02,380.11,376.77,379.02
04/29/1991,373.66,380.96,373.66,373.66
04/30/1991,375.35,377.86,373.01,375.35
05/01/1991,380.29,380.46,375.27,380.29
05/02/1991,380.52,382.14,379.82,380.52
05/03/1991,380.8,381.0,378.82,380.8
05/06/1991,380.08,380.8,377.86,380.08
05/07/1991,377.32,380.91,377.31,377.32
05/08/1991,378.51,379.26,376.21,378.51
05/09/1991,383.25,383.56,378.51,383.25
05/10/1991,375.74,383.91,375.61,375.74
05/13/1991,376.76,377.05,374.62,376.76
05/14/1991,371.62,376.76,370.82,371.62
05/15/1991,368.57,372.47,365.83,368.57
05/16/1991,372.19,372.51,368.57,372.19
05/17/1991,372.39,373.01,369.44,372.39
05/20/1991,372.28,373.65,371.26,372.28
05/21/1991,375.35,376.66,372.28,375.35
05/22/1991,376.19,376.5,374.4,376.19
05/23/1991,374.97,378.07,373.55,374.97
05/24/1991,377.49,378.08,374.97,377.49
05/28/1991,381.94,382.1,377.12,381.94
05/29/1991,382.79,383.66,381.37,382.79
05/30/1991,386.96,388.17,382.5,386.96
05/31/1991,389.83,389.85,385.01,389.83
06/03/1991,388.06,389.83,386.97,388.06
06/04/1991,387.74,388.06,385.14,387.74
06/05/1991,385.09,388.23,384.45,385.09
06/06/1991,383.63,385.85,383.13,383.63
06/07/1991,379.43,383.63,378.76,379.43
06/10/1991,378.57,379.75,377.95,378.57
06/11/1991,381.05,381.63,378.57,381.05
06/12/1991,376.65,381.05,374.46,376.65
06/13/1991,377.63,377.9,376.08,377.63
06/14/1991,382.29,382.3,377.63,382.29
06/17/1991,380.13,382.31,380.13,380.13
06/18/1991,378.59,381.83,377.99,378.59
06/19/1991,375.09,378.59,374.36,375.09
06/20/1991,375.42,376.29,373.87,375.42
06/21/1991,377.75,377.75,375.33,377.75
06/24/1991,370.94,377.75,370.73,370.94
06/25/1991,370.65,372.62,369.56,370.65
06/26/1991,371.59,372.73,368.34,371.59
06/27/1991,374.4,374.4,371.59,374.4
06/28/1991,371.16,374.4,367.98,371.16
07/01/1991,377.92,377.92,371.16,377.92
07/02/1991,377.47,377.93,376.62,377.47
07/03/1991,373.33,377.47,372.08,373.33
07/05/1991,374.08,375.51,372.17,374.08
07/08/1991,377.94,377.94,370.92,377.94
07/09/1991,376.11,378.58,375.37,376.11
